chapter,block_in_chapter,markdown_start_line,section,first_nonblank_line,pedagogical_role,canonical_runtime_companion
6,15,1642,Explained Solutions,"SELECT product_id, product_name, unit_price",worked-or-practice-sql,chapters/ch06.sql
6,16,1651,Explained Solutions,"SELECT branch_id, branch_name, opened_date",worked-or-practice-sql,chapters/ch06.sql
6,17,1661,Explained Solutions,SELECT DISTINCT state,worked-or-practice-sql,chapters/ch06.sql
7,1,1708,Arithmetic expressions,SELECT,worked-or-practice-sql,chapters/ch07.sql
7,2,1718,Arithmetic expressions,SELECT,worked-or-practice-sql,chapters/ch07.sql
7,3,1731,Arithmetic expressions,SELECT,worked-or-practice-sql,chapters/ch07.sql
7,4,1744,Boolean expressions can be selected,SELECT,worked-or-practice-sql,chapters/ch07.sql
7,5,1758,CASE creates conditional output,SELECT,worked-or-practice-sql,chapters/ch07.sql
7,6,1779,"NULL is absence, not a special ordinary value","SELECT customer_id, customer_name",deliberately-incorrect-or-warning,chapters/ch07.sql
7,7,1787,"NULL is absence, not a special ordinary value","SELECT customer_id, customer_name",worked-or-practice-sql,chapters/ch07.sql
7,8,1807,Three-valued logic,WHERE NOT (email = 'a@example.test'),syntax-fragment,chapters/ch07.sql
7,9,1813,Three-valued logic,WHERE email <> 'a@example.test',syntax-fragment,chapters/ch07.sql
7,10,1822,NULL in arithmetic,SELECT 100 + NULL;,worked-or-practice-sql,chapters/ch07.sql
7,11,1834,COALESCE chooses the first non-NULL value,SELECT,worked-or-practice-sql,chapters/ch07.sql
7,12,1849,Worked Example: readable delivery status,SELECT,worked-or-practice-sql,chapters/ch07.sql
7,13,1881,Worked Example: readable delivery status,"SELECT delivery_id, delivery_status, delivered_at",worked-or-practice-sql,chapters/ch07.sql
7,14,1894,Hands-on Lab: classify without destroying NULL meaning,SELECT,worked-or-practice-sql,chapters/ch07.sql
7,15,1912,Hands-on Lab: classify without destroying NULL meaning,SELECT,worked-or-practice-sql,chapters/ch07.sql
7,16,1955,Explained Solutions,SELECT,worked-or-practice-sql,chapters/ch07.sql
7,17,1965,Explained Solutions,SELECT,worked-or-practice-sql,chapters/ch07.sql
7,18,1974,Explained Solutions,"SELECT customer_name, COALESCE(phone, '[no phone recorded]') AS phone_display",worked-or-practice-sql,chapters/ch07.sql
7,19,1981,Explained Solutions,WHERE phone <> '08000000001',syntax-fragment,chapters/ch07.sql
8,1,2025,Text functions,SELECT,worked-or-practice-sql,chapters/ch08.sql
8,2,2040,Numeric functions,SELECT,worked-or-practice-sql,chapters/ch08.sql
8,3,2056,Date arithmetic,SELECT,worked-or-practice-sql,chapters/ch08.sql
8,4,2072,Date arithmetic,"SELECT order_number, order_date",worked-or-practice-sql,chapters/ch08.sql
8,5,2084,Extracting date parts,SELECT,worked-or-practice-sql,chapters/ch08.sql
8,6,2105,Truncating to reporting periods,SELECT,worked-or-practice-sql,chapters/ch08.sql
8,7,2127,Worked Example: monthly order counts,SELECT,worked-or-practice-sql,chapters/ch08.sql
8,8,2156,Worked Example: monthly order counts,SELECT COUNT(*),worked-or-practice-sql,chapters/ch08.sql
8,9,2171,Hands-on Lab: separate date semantics from formatting,SELECT,worked-or-practice-sql,chapters/ch08.sql
8,10,2222,Explained Solutions,SELECT,worked-or-practice-sql,chapters/ch08.sql
8,11,2234,Explained Solutions,"SELECT order_number, order_date",worked-or-practice-sql,chapters/ch08.sql
8,12,2247,Explained Solutions,SELECT,worked-or-practice-sql,chapters/ch08.sql
9,1,2294,COUNT and SUM,SELECT COUNT(*) AS order_count,worked-or-practice-sql,chapters/ch09.sql
9,2,2301,COUNT and SUM,SELECT SUM(quantity) AS units_across_all_line_items,worked-or-practice-sql,chapters/ch09.sql
9,3,2312,AVG / MIN / MAX,SELECT,worked-or-practice-sql,chapters/ch09.sql
9,4,2324,COUNT(column) differs from COUNT(*),SELECT,worked-or-practice-sql,chapters/ch09.sql
9,5,2337,GROUP BY changes the output grain,SELECT,worked-or-practice-sql,chapters/ch09.sql
9,6,2350,HAVING filters groups,SELECT,worked-or-practice-sql,chapters/ch09.sql
9,7,2365,HAVING filters groups,WHERE COUNT(*) >= 2,deliberately-incorrect-or-warning,chapters/ch09.sql
9,8,2389,Worked Example: single-table payment summary,SELECT,worked-or-practice-sql,chapters/ch09.sql
9,9,2421,Worked Example: single-table payment summary,SELECT SUM(amount) AS successful_amount,worked-or-practice-sql,chapters/ch09.sql
9,10,2429,Hands-on Lab: reconcile grouped totals to the source table,SELECT,worked-or-practice-sql,chapters/ch09.sql
9,11,2440,Hands-on Lab: reconcile grouped totals to the source table,SELECT,worked-or-practice-sql,chapters/ch09.sql
9,12,2450,Hands-on Lab: reconcile grouped totals to the source table,SELECT SUM(amount) AS attempted_total,worked-or-practice-sql,chapters/ch09.sql
9,13,2493,Explained Solutions,SELECT,worked-or-practice-sql,chapters/ch09.sql
9,14,2503,Explained Solutions,SELECT,worked-or-practice-sql,chapters/ch09.sql
9,15,2514,Explained Solutions,SELECT,worked-or-practice-sql,chapters/ch09.sql
10,1,2558,Primary keys,"SELECT order_id, order_number",worked-or-practice-sql,chapters/ch10.sql
10,2,2569,Primary keys,SELECT COUNT(*) AS row_count,worked-or-practice-sql,chapters/ch10.sql
10,3,2576,Primary keys,SELECT COUNT(*) AS row_count,worked-or-practice-sql,chapters/ch10.sql
10,4,2588,Foreign keys,orders.customer_id -> customers.customer_id,syntax-fragment,chapters/ch10.sql
10,5,2594,Foreign keys,orders.branch_id -> branches.branch_id,syntax-fragment,chapters/ch10.sql
10,6,2600,Foreign keys,orders.employee_id -> employees.employee_id,syntax-fragment,chapters/ch10.sql
10,7,2611,Optional foreign keys,"SELECT order_id, order_number",worked-or-practice-sql,chapters/ch10.sql
10,8,2634,Composite keys,"PRIMARY KEY (supplier_id, product_id)",syntax-fragment,chapters/ch10.sql
10,9,2676,Worked Example: inspect a relationship chain,SELECT,worked-or-practice-sql,chapters/ch10.sql
10,10,2702,Worked Example: inspect a relationship chain,"SELECT order_id, order_number",worked-or-practice-sql,chapters/ch10.sql
10,11,2713,Hands-on Lab: measure relationship cardinality before joining,SELECT,worked-or-practice-sql,chapters/ch10.sql
10,12,2728,Hands-on Lab: measure relationship cardinality before joining,SELECT,worked-or-practice-sql,chapters/ch10.sql
10,13,2743,Hands-on Lab: measure relationship cardinality before joining,SELECT,worked-or-practice-sql,chapters/ch10.sql
10,14,2778,Explained Solutions,SELECT,worked-or-practice-sql,chapters/ch10.sql
10,15,2787,Explained Solutions,"SELECT supplier_id, product_id",worked-or-practice-sql,chapters/ch10.sql
10,16,2795,Explained Solutions,"SELECT order_id, order_number",worked-or-practice-sql,chapters/ch10.sql
11,1,2840,INNER JOIN,SELECT,worked-or-practice-sql,chapters/ch11.sql
11,2,2859,LEFT JOIN,"SELECT c.customer_id, c.customer_name, o.order_number",worked-or-practice-sql,chapters/ch11.sql
11,3,2889,Why row counts multiply,SELECT,worked-or-practice-sql,chapters/ch11.sql
11,4,2910,The classic payment-multiplication error,SELECT,worked-or-practice-sql,chapters/ch11.sql
11,5,2935,Repairing the grain,WITH line_totals AS (,worked-or-practice-sql,chapters/ch11.sql
11,6,2979,RIGHT and FULL joins,SELECT,worked-or-practice-sql,chapters/ch11.sql
11,7,3004,Worked Example: completed order value by branch,WITH line_totals AS (,worked-or-practice-sql,chapters/ch11.sql
11,8,3048,Worked Example: completed order value by branch,SELECT,worked-or-practice-sql,chapters/ch11.sql
11,9,3061,Hands-on Lab: prove and repair a fanout defect,SELECT,worked-or-practice-sql,chapters/ch11.sql
11,10,3073,Hands-on Lab: prove and repair a fanout defect,SELECT,worked-or-practice-sql,chapters/ch11.sql
11,11,3089,Hands-on Lab: prove and repair a fanout defect,WITH order_values AS (,worked-or-practice-sql,chapters/ch11.sql
11,12,3136,Explained Solutions,SELECT,worked-or-practice-sql,chapters/ch11.sql
11,13,3151,Explained Solutions,WITH line_totals AS (,worked-or-practice-sql,chapters/ch11.sql
12,1,3206,IN with a subquery,"SELECT order_number, order_date",worked-or-practice-sql,chapters/ch12.sql
12,2,3224,EXISTS asks whether a related row exists,"SELECT c.customer_id, c.customer_name",worked-or-practice-sql,chapters/ch12.sql
12,3,3245,NOT EXISTS expresses absence safely,"SELECT c.customer_id, c.customer_name",worked-or-practice-sql,chapters/ch12.sql
12,4,3266,Correlated subqueries,"SELECT o.order_number, o.order_date",worked-or-practice-sql,chapters/ch12.sql
12,5,3284,Why NOT EXISTS is safer than NOT IN for nullable subquery outputs,"SELECT c.customer_id, c.customer_name",worked-or-practice-sql,chapters/ch12.sql
12,6,3295,Why NOT EXISTS is safer than NOT IN for nullable subquery outputs,"SELECT c.customer_id, c.customer_name",worked-or-practice-sql,chapters/ch12.sql
12,7,3307,Worked Example: active products with no preferred supplier,"SELECT p.product_id, p.product_name, p.sku",worked-or-practice-sql,chapters/ch12.sql
12,8,3331,Hands-on Lab: prove EXISTS and JOIN formulations agree,"SELECT DISTINCT c.customer_id, c.customer_name",worked-or-practice-sql,chapters/ch12.sql
12,9,3341,Hands-on Lab: prove EXISTS and JOIN formulations agree,"SELECT c.customer_id, c.customer_name",worked-or-practice-sql,chapters/ch12.sql
12,10,3354,Hands-on Lab: prove EXISTS and JOIN formulations agree,SELECT COUNT(*) AS join_count,worked-or-practice-sql,chapters/ch12.sql
12,11,3360,Hands-on Lab: prove EXISTS and JOIN formulations agree,SELECT COUNT(*) AS exists_count,worked-or-practice-sql,chapters/ch12.sql
12,12,3401,Explained Solutions,"SELECT p.product_id, p.product_name",worked-or-practice-sql,chapters/ch12.sql
12,13,3414,Explained Solutions,"SELECT s.supplier_id, s.supplier_name",worked-or-practice-sql,chapters/ch12.sql
12,14,3427,Explained Solutions,SELECT o.order_id,worked-or-practice-sql,chapters/ch12.sql
13,1,3481,UNION: combine and remove duplicates,SELECT city,worked-or-practice-sql,chapters/ch13.sql
13,2,3489,UNION: combine and remove duplicates,SELECT city,worked-or-practice-sql,chapters/ch13.sql
13,3,3501,UNION ALL: preserve duplicates,SELECT city,worked-or-practice-sql,chapters/ch13.sql
13,4,3518,INTERSECT: values present in both result sets,SELECT city,worked-or-practice-sql,chapters/ch13.sql
13,5,3531,EXCEPT: values in the first set but not the second,SELECT city,worked-or-practice-sql,chapters/ch13.sql
13,6,3544,Column compatibility,SELECT customer_id AS entity_id,worked-or-practice-sql,chapters/ch13.sql
13,7,3561,ORDER BY after a set operation,SELECT city,worked-or-practice-sql,chapters/ch13.sql
13,8,3585,Worked Example: customer and supplier locations,SELECT city,worked-or-practice-sql,chapters/ch13.sql
13,9,3602,Hands-on Lab: distinguish set semantics from bag semantics,SELECT state,worked-or-practice-sql,chapters/ch13.sql
13,10,3610,Hands-on Lab: distinguish set semantics from bag semantics,SELECT state,worked-or-practice-sql,chapters/ch13.sql
13,11,3652,Explained Solutions,SELECT city,worked-or-practice-sql,chapters/ch13.sql
13,12,3661,Explained Solutions,SELECT city,worked-or-practice-sql,chapters/ch13.sql
13,13,3670,Explained Solutions,SELECT city,worked-or-practice-sql,chapters/ch13.sql
14,1,3715,Named intermediate stages,"WITH january_orders AS (",worked-or-practice-sql,chapters/ch14.sql
14,2,3733,Multiple CTEs,"WITH completed_orders AS (",worked-or-practice-sql,chapters/ch14.sql
14,3,3756,CTEs for grain control,"WITH line_totals AS (",worked-or-practice-sql,chapters/ch14.sql
14,4,3792,Recursive CTEs,"WITH RECURSIVE countdown(n) AS (",worked-or-practice-sql,chapters/ch14.sql
14,5,3825,Worked Example: monthly completed order value,"WITH line_totals AS (",worked-or-practice-sql,chapters/ch14.sql
14,6,3872,Hands-on Lab: validate CTE stages independently,"WITH line_totals AS (",worked-or-practice-sql,chapters/ch14.sql
14,7,3882,Hands-on Lab: validate CTE stages independently,"WITH line_totals AS (",worked-or-practice-sql,chapters/ch14.sql
14,8,3912,Practice Tasks,"WITH movement_totals AS (",worked-or-practice-sql,chapters/ch14.sql
14,9,3930,Explained Solutions,"WITH movement_totals AS (",worked-or-practice-sql,chapters/ch14.sql
14,10,3946,Explained Solutions,"WITH line_totals AS (",worked-or-practice-sql,chapters/ch14.sql
15,1,4005,Window versus GROUP BY,SELECT,worked-or-practice-sql,chapters/ch15.sql
15,2,4020,Ranking functions,SELECT,worked-or-practice-sql,chapters/ch15.sql
15,3,4047,Running totals,SELECT,worked-or-practice-sql,chapters/ch15.sql
15,4,4072,Running totals,SELECT,worked-or-practice-sql,chapters/ch15.sql
15,5,4100,LAG and LEAD,WITH monthly AS (,worked-or-practice-sql,chapters/ch15.sql
15,6,4128,Worked Example: ranking products within category,WITH product_sales AS (,worked-or-practice-sql,chapters/ch15.sql
15,7,4168,Hands-on Lab: reconcile a window calculation,WITH base AS (,worked-or-practice-sql,chapters/ch15.sql
15,8,4188,Hands-on Lab: reconcile a window calculation,WITH ordered AS (,worked-or-practice-sql,chapters/ch15.sql
15,9,4244,Explained Solutions,SELECT,worked-or-practice-sql,chapters/ch15.sql
15,10,4263,Explained Solutions,WITH order_values AS (,worked-or-practice-sql,chapters/ch15.sql
16,1,4326,Choosing data types,CREATE TABLE price_examples (,worked-or-practice-sql,chapters/ch16.sql
16,2,4340,Identity columns,CREATE TABLE branch_notes (,worked-or-practice-sql,chapters/ch16.sql
16,3,4353,NOT NULL,customer_name text NOT NULL,syntax-fragment,chapters/ch16.sql
16,4,4362,UNIQUE,order_number text NOT NULL UNIQUE,syntax-fragment,chapters/ch16.sql
16,5,4371,CHECK,quantity integer NOT NULL CHECK (quantity > 0),syntax-fragment,chapters/ch16.sql
16,6,4377,CHECK,discount_amount numeric(12,2) NOT NULL DEFAULT 0,syntax-fragment,chapters/ch16.sql
16,7,4393,Foreign keys,"branch_id integer NOT NULL REFERENCES branches(branch_id)",syntax-fragment,chapters/ch16.sql
16,8,4403,Worked Example: a constrained stock-count table,CREATE TABLE stock_counts (,worked-or-practice-sql,chapters/ch16.sql
16,9,4442,Hands-on Lab: let PostgreSQL reject bad data,CREATE TEMP TABLE constraint_lab (,transactional-teaching-lab,chapters/ch16.sql
16,10,4458,Hands-on Lab: let PostgreSQL reject bad data,"INSERT INTO constraint_lab (item_name, quantity, unit_price)",transactional-teaching-lab,chapters/ch16.sql
16,11,4470,Hands-on Lab: let PostgreSQL reject bad data,"INSERT INTO constraint_lab (item_name, quantity, unit_price)",transactional-teaching-lab,chapters/ch16.sql
16,12,4481,Hands-on Lab: let PostgreSQL reject bad data,"INSERT INTO constraint_lab (item_name, quantity, unit_price)",transactional-teaching-lab,chapters/ch16.sql
16,13,4494,Hands-on Lab: let PostgreSQL reject bad data,"INSERT INTO constraint_lab (item_name, quantity, unit_price)",transactional-teaching-lab,chapters/ch16.sql
16,14,4538,Explained Solutions,CREATE TABLE warehouses (,worked-or-practice-sql,chapters/ch16.sql
16,15,4554,Explained Solutions,ALTER TABLE warehouses,worked-or-practice-sql,chapters/ch16.sql
17,1,4605,INSERT with explicit columns,"INSERT INTO customers (customer_name, customer_type, city, state, phone, email)",worked-or-practice-sql,chapters/ch17.sql
17,2,4624,INSERT with explicit columns,"INSERT INTO categories (category_name)",worked-or-practice-sql,chapters/ch17.sql
17,3,4632,INSERT with explicit columns,"INSERT INTO categories (category_id, category_name)",worked-or-practice-sql,chapters/ch17.sql
17,4,4643,RETURNING turns a write into evidence,"INSERT INTO customers (customer_name, customer_type, city, state)",worked-or-practice-sql,chapters/ch17.sql
17,5,4663,Safe UPDATE: SELECT first,SELECT customer_id, customer_name, is_active,worked-or-practice-sql,chapters/ch17.sql
17,6,4670,Safe UPDATE: SELECT first,UPDATE customers,worked-or-practice-sql,chapters/ch17.sql
17,7,4679,Safe UPDATE: SELECT first,UPDATE customers,worked-or-practice-sql,chapters/ch17.sql
17,8,4697,Updates need the same discipline,"SELECT customer_id, customer_name, is_active",worked-or-practice-sql,chapters/ch17.sql
17,9,4706,Updates need the same discipline,UPDATE customer_status_practice,worked-or-practice-sql,chapters/ch17.sql
17,10,4977,The dangerous unrestricted UPDATE,UPDATE customer_status_practice,worked-or-practice-sql,chapters/ch17.sql
17,11,4992,DELETE uses the same preview discipline,"SELECT customer_id, customer_name",worked-or-practice-sql,chapters/ch17.sql
17,12,5000,DELETE uses the same preview discipline,DELETE FROM customer_status_practice,worked-or-practice-sql,chapters/ch17.sql
17,13,5012,Worked Example inside a transaction,BEGIN;,transactional-teaching-lab,chapters/ch17.sql
17,14,5063,"Hands-on Lab: preview, modify, and receive a receipt",BEGIN;,transactional-teaching-lab,chapters/ch17.sql
17,15,5112,Practice Tasks,UPDATE orders,worked-or-practice-sql,chapters/ch17.sql
18,1,5164,"BEGIN, COMMIT, and ROLLBACK",BEGIN;,transactional-teaching-lab,chapters/ch18.sql
18,2,5170,"BEGIN, COMMIT, and ROLLBACK",COMMIT;,worked-or-practice-sql,chapters/ch18.sql
18,3,5176,"BEGIN, COMMIT, and ROLLBACK",ROLLBACK;,transactional-teaching-lab,chapters/ch18.sql
18,4,5191,Atomicity: all or none of the unit,BEGIN;,transactional-teaching-lab,chapters/ch18.sql
18,5,5246,A two-session thought experiment,BEGIN;,transactional-teaching-lab,chapters/ch18.sql
18,6,5256,A two-session thought experiment,"SELECT order_id, order_status",worked-or-practice-sql,chapters/ch18.sql
18,7,5274,Lost-update reasoning,UPDATE inventory_balance_practice,worked-or-practice-sql,chapters/ch18.sql
18,8,5286,Savepoints,BEGIN;,deliberately-incorrect-or-warning,chapters/ch18.sql
18,9,5308,Worked Example: verify before commit,BEGIN;,transactional-teaching-lab,chapters/ch18.sql
20,1,5691,Views: a reusable query interface,CREATE VIEW active_products_view AS,worked-or-practice-sql,chapters/ch20.sql
20,2,5706,Views: a reusable query interface,"SELECT product_id, product_name, unit_price",worked-or-practice-sql,chapters/ch20.sql
20,3,5727,A more useful reporting view,CREATE VIEW completed_order_totals AS,worked-or-practice-sql,chapters/ch20.sql
20,4,5760,Indexes: an alternate access path,CREATE INDEX idx_orders_branch_date,worked-or-practice-sql,chapters/ch20.sql
20,5,5784,EXPLAIN: inspect the planned strategy,EXPLAIN,worked-or-practice-sql,chapters/ch20.sql
20,6,5812,EXPLAIN ANALYZE executes the statement,EXPLAIN ANALYZE,worked-or-practice-sql,chapters/ch20.sql
20,7,5828,Worked Example: index investigation,SELECT,worked-or-practice-sql,chapters/ch20.sql
20,8,5843,Worked Example: index investigation,CREATE INDEX idx_orders_branch_date,worked-or-practice-sql,chapters/ch20.sql
20,9,5866,Materialized views,CREATE MATERIALIZED VIEW monthly_branch_summary AS,worked-or-practice-sql,chapters/ch20.sql
20,10,5879,Materialized views,REFRESH MATERIALIZED VIEW monthly_branch_summary;,worked-or-practice-sql,chapters/ch20.sql
20,11,5889,Hands-on Lab: compare plans without inventing performance claims,EXPLAIN,worked-or-practice-sql,chapters/ch20.sql
20,12,5938,Explained Solutions,CREATE INDEX idx_payments_order_status_date,worked-or-practice-sql,chapters/ch20.sql
21,1,6065,Least privilege,CREATE ROLE marketledger_reporter LOGIN;,worked-or-practice-sql,chapters/ch21.sql
21,2,6138,Worked Example: secure order search design,SELECT,worked-or-practice-sql,chapters/ch21.sql
22,1,6277,Reusable order-total CTE,WITH order_totals AS (,worked-or-practice-sql,chapters/ch22.sql
22,2,6307,Question 1 — Which branch had the highest completed order value?,WITH order_totals AS (,worked-or-practice-sql,chapters/ch22.sql
22,3,6347,Question 2 — Which branch was “best” in Q1?,AND o.order_date >= DATE '2025-01-01',worked-or-practice-sql,chapters/ch22.sql
22,4,6356,Question 3 — Which customers generated the highest completed-order value?,WITH order_totals AS (,worked-or-practice-sql,chapters/ch22.sql
22,5,6383,Question 4 — Which stored customers have no orders at all?,"SELECT c.customer_id, c.customer_name",worked-or-practice-sql,chapters/ch22.sql
22,6,6398,Question 5 — Which products sold the most units on completed orders?,SELECT,worked-or-practice-sql,chapters/ch22.sql
22,7,6415,Question 6 — Which categories had the highest completed line value?,SELECT,worked-or-practice-sql,chapters/ch22.sql
22,8,6434,Question 7 — What were payment outcomes?,SELECT,worked-or-practice-sql,chapters/ch22.sql
22,9,6454,Question 8 — Which orders had a failed payment attempt but later succeeded?,SELECT,worked-or-practice-sql,chapters/ch22.sql
22,10,6477,Question 9 — Which orders have no successful payment?,SELECT,worked-or-practice-sql,chapters/ch22.sql
22,11,6495,Question 10 — What is the delivery-status distribution?,SELECT,worked-or-practice-sql,chapters/ch22.sql
22,12,6510,Question 11 — Which completed deliveries took the most calendar days?,SELECT,worked-or-practice-sql,chapters/ch22.sql
22,13,6528,Question 12 — What returns have been completed?,SELECT,worked-or-practice-sql,chapters/ch22.sql
22,14,6548,Question 13 — What is current recorded stock by branch and product?,SELECT,worked-or-practice-sql,chapters/ch22.sql
22,15,6568,Question 14 — Which recorded branch-product quantities are at or below the product reorder level?,WITH stock_position AS (,worked-or-practice-sql,chapters/ch22.sql
